Timestamp; robot ID; x coordinate; y coordinate; angle; current joint x; current joint y; previous joint x; previous joint y; it entry; age 
8933; 6; 10.4641; 6.79947; 61.3311; 10.2945; 6.38756; 0; 0; 4641; 4292
8933; 7; 11.5292; 7.7043; 61.5863; 11.6749; 7.21791; 0; 0; 5869; 3064
8933; 8; 11.5541; 6.79353; 63.6171; 11.1539; 6.48276; 0; 0; 5538; 3395
8933; 9; 10.749; 6.20172; 57.2941; 10.7109; 6.47372; 10.3329; 6.13026; 5425; 3508
8933; 10; 12.8912; 6.6884; 65.1717; 12.4656; 6.86607; 0; 0; 6488; 2445
8933; 11; 13.4426; 6.86658; 74.9374; 13.1409; 6.74187; 0; 0; 7103; 1830
8933; 12; 14.0385; 6.50221; 73.1276; 13.7734; 6.52681; 0; 0; 7671; 1262
8933; 13; 14.4363; 6.20868; 76.2872; 14.0717; 6.15507; 14.4033; 6.55565; 8212; 721
8959; 1; 9.20772; 5.44447; 38.4629; 9.20904; 5.79642; 8.76361; 5.25733; 2456; 6503
8959; 2; 9.00287; 6.16682; 45.5417; 8.75986; 6.42681; 8.7574; 5.90682; 1826; 7133
8959; 3; 9.89991; 5.51589; 45.0158; 9.58627; 5.46821; 0; 0; 2693; 6266
8959; 4; 9.98245; 6.44571; 55.516; 10.0734; 5.98148; 0; 0; 4383; 4576
8959; 5; 12.1556; 7.10681; 64.6607; 11.9813; 6.91591; 11.8476; 7.40847; 5954; 3005
8959; 6; 10.4883; 6.79972; 61.2407; 10.2949; 6.38757; 0; 0; 4641; 4318
8959; 7; 11.5303; 7.70255; 61.5887; 11.6768; 7.21648; 0; 0; 5869; 3090
8959; 8; 11.5552; 6.79256; 63.6141; 11.1543; 6.48266; 0; 0; 5538; 3421
8959; 9; 10.7496; 6.2014; 57.2937; 10.7114; 6.47366; 10.3333; 6.13027; 5425; 3534
8959; 10; 12.8912; 6.6852; 65.163; 12.4673; 6.86452; 0; 0; 6488; 2471
8959; 11; 13.4408; 6.86108; 74.9345; 13.1393; 6.73708; 0; 0; 7103; 1856
8959; 12; 14.037; 6.49552; 73.1245; 13.7713; 6.52064; 0; 0; 7671; 1288
8959; 13; 14.4348; 6.20198; 76.284; 14.0696; 6.14889; 14.4024; 6.54844; 8212; 747
8974; 1; 9.20289; 5.44041; 38.4655; 9.19928; 5.7687; 8.76361; 5.25733; 2456; 6518
8974; 2; 9.00287; 6.16682; 45.5417; 8.75986; 6.42681; 8.7574; 5.90682; 1826; 7148
8974; 3; 9.90021; 5.51549; 45.0128; 9.58028; 5.45899; 0; 0; 2693; 6281
8974; 4; 9.98259; 6.44434; 55.5196; 10.0745; 5.98017; 0; 0; 4383; 4591
8974; 5; 12.0659; 7.1786; 64.6607; 11.8911; 6.98743; 11.7619; 7.47908; 5954; 3020
8974; 6; 10.5011; 6.79831; 61.195; 10.2999; 6.38043; 0; 0; 4641; 4333
8974; 7; 11.4156; 7.76437; 61.6923; 11.5866; 7.288; 0; 0; 5869; 3105
8974; 8; 11.5108; 6.82799; 63.8381; 11.1567; 6.49258; 0; 0; 5538; 3436
8974; 9; 10.7506; 6.20052; 57.2937; 10.7126; 6.45778; 10.3383; 6.12313; 5425; 3549
8974; 10; 12.802; 6.75745; 65.1655; 12.3775; 6.93632; 0; 0; 6488; 2486
8974; 11; 13.3524; 6.93465; 74.9383; 13.0505; 6.80978; 0; 0; 7103; 1871
8974; 12; 13.9325; 6.58277; 73.2052; 13.6833; 6.59508; 0; 0; 7671; 1303
